Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
AM,,,,,,,8.21836386,51.41811471,465.710,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:50:39.0 UTC+01:00,2025-11-19 10:50:44.0 UTC+01:00,26,1.4,1.7,,,,8.21851089,51.41839336,467.151,32.654,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
A1,,,,,,,8.21836188,51.41810581,465.763,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:52:09.2 UTC+01:00,2025-11-19 10:52:14.2 UTC+01:00,26,1.4,1.7,,,,8.21851089,51.41839336,467.151,33.639,,Globales KS,10,6,5,0,0,Reach M+,8243F658439436BA
A2,,,,,,,8.21837739,51.41811337,465.715,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:53:20.0 UTC+01:00,2025-11-19 10:53:25.0 UTC+01:00,26,1.4,1.7,,,,8.21851089,51.41839336,467.151,32.515,,Globales KS,10,6,5,0,0,Reach M+,8243F658439436BA
A3,,,,,,,8.21835745,51.41812519,465.833,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:54:03.2 UTC+01:00,2025-11-19 10:54:08.2 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,31.700,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
A4,,,,,,,8.21835015,51.41811364,465.814,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 10:54:52.6 UTC+01:00,2025-11-19 10:54:57.6 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,33.081,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
A5,,,,,,over write a4,8.21835015,51.41811365,465.813,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:55:15.0 UTC+01:00,2025-11-19 10:55:20.0 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,33.080,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
BM,,,,,,,8.21862089,51.41801774,464.392,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 10:58:24.2 UTC+01:00,2025-11-19 10:58:29.2 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,42.493,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
B1,,,,,,,8.21861107,51.41802936,464.549,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 10:59:31.6 UTC+01:00,2025-11-19 10:59:36.6 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,41.101,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
B2,,,,,,,8.21860952,51.41801761,464.502,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 11:00:29.2 UTC+01:00,2025-11-19 11:00:34.2 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,42.371,,Globales KS,10,7,5,0,0,Reach M+,8243F658439436BA
B3,,,,,,,8.21862702,51.41800973,464.402,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:01:32.0 UTC+01:00,2025-11-19 11:01:37.0 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,43.446,,Globales KS,9,7,5,0,0,Reach M+,8243F658439436BA
B4,,,,,,,8.21864220,51.41801468,464.288,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:02:37.8 UTC+01:00,2025-11-19 11:02:42.8 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,43.117,,Globales KS,9,7,5,0,0,Reach M+,8243F658439436BA
CM,,,,,,,8.21846831,51.41787009,464.554,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:06:02.3 UTC+01:00,2025-11-19 11:06:07.3 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,58.297,,Globales KS,9,6,5,0,0,Reach M+,8243F658439436BA
C1,,,,,,,8.21845563,51.41787373,464.703,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 11:07:03.7 UTC+01:00,2025-11-19 11:07:08.7 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,57.947,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
C2,,,,,,,8.21847091,51.41787827,464.633,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:07:36.1 UTC+01:00,2025-11-19 11:07:41.1 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,57.379,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
C3,,,,,,,8.21848503,51.41787111,464.573,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:08:02.9 UTC+01:00,2025-11-19 11:08:07.9 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,58.138,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
C4,,,,,,,8.21846751,51.41786136,464.606,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 11:10:06.7 UTC+01:00,2025-11-19 11:10:11.7 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,59.273,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
DM,,,,,,AR markers only,8.21849453,51.41792260,464.539,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:12:49.1 UTC+01:00,2025-11-19 11:12:54.1 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,52.394,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
D1,,,,,,,8.21851845,51.41791656,464.513,Global,0.011,0.010,0.010,0.015,2.130,m,FIX,RTK,2025-11-19 11:13:45.7 UTC+01:00,2025-11-19 11:13:50.7 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,53.053,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
D2,,,,,,,8.21849533,51.41790935,464.589,Global,0.011,0.010,0.010,0.015,2.130,m,FIX,RTK,2025-11-19 11:15:21.3 UTC+01:00,2025-11-19 11:15:26.3 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,53.867,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
D3,,,,,,,8.21848333,51.41792541,464.666,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:16:03.3 UTC+01:00,2025-11-19 11:16:08.3 UTC+01:00,26,1.3,1.6,,,,8.21851089,51.41839336,467.151,52.106,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
D4,,,,,,,8.21850966,51.41792989,464.592,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:16:39.3 UTC+01:00,2025-11-19 11:16:44.3 UTC+01:00,26,1.3,1.6,,,,8.21851089,51.41839336,467.151,51.568,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
EM,,,,,,AR markers only,8.21818384,51.41801049,466.220,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:22:31.9 UTC+01:00,2025-11-19 11:22:36.9 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,48.313,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
E1,,,,,,,8.21818161,51.41801941,466.339,Global,0.010,0.011,0.011,0.015,2.130,m,FIX,RTK,2025-11-19 11:25:54.3 UTC+01:00,2025-11-19 11:25:59.3 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,47.509,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
E2,,,,,,,8.21816662,51.41801014,466.310,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:26:41.3 UTC+01:00,2025-11-19 11:26:46.3 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,48.926,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
E3,,,,,,,8.21818099,51.41800253,466.265,Global,0.010,0.010,0.010,0.015,2.130,m,FIX,RTK,2025-11-19 11:27:54.9 UTC+01:00,2025-11-19 11:27:59.9 UTC+01:00,26,1.3,1.5,,,,8.21851089,51.41839336,467.151,49.188,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
E4,,,,,,,8.21819773,51.41800598,466.209,Global,0.010,0.010,0.011,0.014,2.130,m,FIX,RTK,2025-11-19 11:29:03.1 UTC+01:00,2025-11-19 11:29:08.1 UTC+01:00,26,1.4,1.6,,,,8.21851089,51.41839336,467.151,48.306,,Globales KS,9,6,4,0,0,Reach M+,8243F658439436BA
FM,,,,,,AR markers only,8.21857354,51.41806498,464.667,Global,0.010,0.010,0.010,0.014,2.130,m,FIX,RTK,2025-11-19 11:42:03.1 UTC+01:00,2025-11-19 11:42:08.1 UTC+01:00,26,1.2,1.4,,,,8.21851089,51.41839336,467.151,36.800,,Globales KS,8,6,5,0,0,Reach M+,8243F658439436BA
