kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,reproj_error_anchor_mean,reproj_error_anchor_std,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,reproj_error_prior_mean,reproj_error_prior_std,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
8001,8001,40,28,0.7,28,1.0,28,25,0.8928571428571429,445662.81752225227,5696629.419604878,479.6786234362056,-1.2214287297101691,-1.5806192141026258,-0.22881674934126295,-133.49876846817057,10.36117645926525,3.229861703714516,-1.1859503971371623,-0.6670738832511631,4.062570652448414,0.43570814,0.28627414,25,0.8928571428571429,445662.8175222529,5696629.419604878,479.6786234362831,-1.2214287290698849,-1.5806192141026258,-0.22881674926378537,-133.49876846842523,10.361176457599734,3.2298617054456873,-1.1859503973918208,-0.6670738849166753,4.062570654179581,0.43570814,0.28627414,445664.038950982,5696631.000224092,479.9074401855469,-132.3128180710334,11.028250342516413,-0.8327089487338988,214,frame_000214.png
8001,8000,36,23,0.6388888888888888,23,1.0,23,21,0.9130434782608695,445661.5523372294,5696628.040056381,479.7238286076461,-0.31477622158126906,-0.6903621908277273,-0.2001826228226946,-133.22721245860913,8.299387534652093,4.561656111079371,-1.1881068451211831,-1.242437798061303,6.601023215298596,0.480043,0.25783587,21,0.9130434782608695,445661.55233721854,5696628.040056375,479.72382860586544,-0.31477623246610165,-0.6903621973469853,-0.20018262460337155,-133.2272124583341,8.299387580171246,4.561656096183637,-1.1881068448461463,-1.2424377525421448,6.601023200402835,0.480043,0.25783587,445661.867113451,5696628.730418572,479.9240112304688,-132.03910561348795,9.5418253327134,-2.0393671042192123,215,frame_000215.png
8000,8000,29,15,0.5172413793103449,15,1.0,15,14,0.9333333333333333,445660.35554521665,5696626.341353447,479.70363463893756,-0.4488141125184484,-1.2888604756444693,-0.25803528293744193,-133.7772742362804,8.555027837743312,6.614844461650957,-1.5453160704153106,-0.47600266281020254,9.28663775945924,0.62619656,0.38772222,14,0.9333333333333333,445660.3555452124,5696626.341353453,479.70363463903965,-0.44881411676760763,-1.2888604700565338,-0.25803528283535115,-133.7772742302868,8.555027834633385,6.614844434930281,-1.545316064421712,-0.4760026659201344,9.28663773273857,0.62619656,0.38772222,445660.80435932917,5696627.630213923,479.961669921875,-132.23195816586508,9.03103050055351,-2.6717932978082812,216,frame_000216.png
8000,8000,31,23,0.7419354838709677,23,1.0,23,19,0.8260869565217391,445658.90619924583,5696625.318935134,479.7837556868226,-0.8638920636149123,-1.2296066479757428,-0.19421062177116255,-133.16318760972263,3.9605834802019517,3.023173707937822,-1.0325974664389435,-1.1932557672838016,3.739294126901882,0.7975511,0.59764,19,0.8260869565217391,445658.9061992431,5696625.318935142,479.7837556875041,-0.8638920663506724,-1.2296066405251622,-0.1942106210896668,-133.16318760539838,3.9605834676686817,3.023173680925019,-1.032597462114694,-1.1932557798170649,3.739294099889065,0.7975511,0.59764,445659.77009130944,5696626.548541782,479.97796630859375,-132.13059014328368,5.15383924748576,-0.716120418964055,217,frame_000217.png
8001,8000,34,21,0.6176470588235294,21,1.0,21,21,1.0,445657.64841207466,5696624.101915013,479.76978830676546,-1.1161443996825255,-1.3977959984913468,-0.19264455456266205,-133.17552345158694,-0.7548737734379448,3.3022905182499023,-1.1176407291837904,-1.4409878189757706,4.3899980333094675,0.7620846,0.4589884,21,1.0,445657.64841208205,5696624.101914993,479.7697883086335,-1.1161443922901526,-1.3977960189804435,-0.19264455269461678,-133.17552345240375,-0.7548737342270355,3.3022905956872264,-1.117640730000602,-1.4409877797648392,4.389998110746774,0.7620846,0.4589884,445658.76455647434,5696625.499711012,479.9624328613281,-132.05788272240315,0.6861140455378161,-1.0877075150595585,218,frame_000218.png
8000,8000,22,13,0.5909090909090909,13,1.0,13,13,1.0,445656.65228768886,5696622.965525872,479.81622252308006,-0.20348371186992154,-0.5504359975457191,-0.009003306998067728,-132.3498165603441,-31.568341916993354,3.928765449368313,-1.3570893831008561,-2.1039383030512226,6.14894328606772,0.30474722,0.16087243,13,1.0,445656.66591216007,5696621.261705118,480.1631577146067,-0.18985924066510051,-2.2542567513883114,0.3379318845285866,-130.71316811165235,-26.451022492546123,8.902953725292793,0.27955906559088817,3.0133811213959802,11.123131561992182,0.83133626,0.4055726,445656.85577140073,5696623.51596187,479.8252258300781,-130.99272717724324,-29.464403613942117,-2.2201778366993925,219,frame_000219.png
8000,8000,36,21,0.5833333333333334,21,1.0,21,21,1.0,445655.89623221057,5696621.992028202,479.87228673567637,-0.22085632104426622,-0.7069064565002918,0.027407585285743608,-133.3106766090327,-26.43549005645877,1.016950709384158,-0.7744999380209947,-2.547182393569841,-0.6831882692910369,0.44327277,0.268845,21,1.0,445655.8962322024,5696621.992028188,479.872286739017,-0.22085632919333875,-0.7069064704701304,0.02740758862637449,-133.31067660712188,-26.435489991999347,1.0169507257969737,-0.7744999361101748,-2.547182329110427,-0.6831882528782103,0.44327277,0.268845,445656.1170885316,5696622.698934658,479.8448791503906,-132.5361766710117,-23.88830766288892,1.7001389786751886,220,frame_000220.png
8000,8000,52,46,0.8846153846153846,46,1.0,46,46,1.0,445654.3816487186,5696620.424178255,479.8237039015031,-0.038652690360322595,-0.47993882931768894,-0.11370454576251632,-133.64771883192677,-6.732432768818913,2.0932863824170784,-1.0770191138418,-1.2794938197714032,1.8633380438978975,0.36996078,0.21301916,46,1.0,445654.3816487343,5696620.424178262,479.8237039002778,-0.03865267464425415,-0.47993882186710835,-0.11370454698783306,-133.64771882787883,-6.732432832986049,2.093286408246003,-1.0770191097938664,-1.2794938839385566,1.8633380697268365,0.36996078,0.21301916,445654.420301409,5696620.904117084,479.9374084472656,-132.57069971808497,-5.452938949047501,0.22994833851917465,221,frame_000221.png
8000,8000,69,58,0.8405797101449275,58,1.0,58,58,1.0,445654.43634271296,5696620.42628735,479.75924941149464,0.07473037496674806,-0.44528457429260015,-0.13644150647417064,-132.91452247655852,-1.669701871660257,2.2466848553613885,-1.034041659114905,-1.523136088515173,1.8146771891133824,0.36044633,0.25128964,58,1.0,445654.4363427128,5696620.42628735,479.7592494115118,0.07473037479212508,-0.44528457429260015,-0.13644150645700392,-132.91452247657347,-1.669701870323785,2.246684855677374,-1.034041659129855,-1.523136087178699,1.8146771894293465,0.36044633,0.25128964,445654.361612338,5696620.871571925,479.8956909179688,-131.8804808174436,-0.14656578314508253,0.43200766624801845,222,frame_000222.png
8000,8000,75,64,0.8533333333333334,64,1.0,64,64,1.0,445654.63872998336,5696620.68804582,479.7402961628125,0.17116816126508638,-0.2912084739655256,-0.17645188406248735,-133.28591655530474,2.577715820057189,2.309294913283416,-1.103189618876172,-1.3445325913305624,1.8307977799952653,0.42844656,0.3664084,64,1.0,445654.63872998155,5696620.688045821,479.74029616285856,0.1711681594606489,-0.29120847303420305,-0.17645188401644418,-133.28591655489097,2.5777158244979983,2.309294907502683,-1.1031896184624088,-1.3445325868897555,1.830797774214517,0.42844656,0.3664084,445654.4675618221,5696620.979254294,479.916748046875,-132.18272693642857,3.9222484113877503,0.4784971332881627,223,frame_000223.png
