kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,reproj_error_anchor_mean,reproj_error_anchor_std,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,reproj_error_prior_mean,reproj_error_prior_std,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
914,2142,914,101,0.11050328227571116,51,0.504950495049505,101,29,0.2871287128712871,445662.54851358343,5696629.256038495,479.35408310962345,-1.490437398548238,-1.744185596704483,-0.5533570759234294,-133.36034609628038,11.528650245466169,2.7378929355273,-1.0475280252469759,0.5003999029497663,3.570601884261208,1.9866991,0.7756262,29,0.2871287128712871,445662.5485135694,5696629.25603852,479.35408310822163,-1.4904374125762843,-1.744185572490096,-0.553357077325245,-133.36034609458343,11.528650216851497,2.7378928366039395,-1.0475280235500293,0.5003998743350735,3.5706017853378285,1.986695,0.7756264,445664.038950982,5696631.000224092,479.9074401855469,-132.3128180710334,11.028250342516413,-0.8327089487338988,214,frame_000214.png
872,1542,872,57,0.06536697247706422,38,0.6666666666666666,57,24,0.42105263157894735,445661.43677198904,5696627.909440351,479.6209527302983,-0.43034146196441725,-0.8209782214835286,-0.3030585001704935,-133.17503171054196,8.99044709094313,4.569749189974299,-1.1359260970540106,-0.5513782417702657,6.609116294193512,1.6049057,0.6164752,24,0.42105263157894735,445661.43677199475,5696627.909440358,479.6209527313979,-0.4303414562600665,-0.820978214032948,-0.3030584990709144,-133.17503170698168,8.99044705535307,4.5697491861125865,-1.1359260934937367,-0.5513782773603282,6.609116290331798,1.6049057,0.6164752,445661.867113451,5696628.730418572,479.9240112304688,-132.03910561348795,9.5418253327134,-2.0393671042192123,215,frame_000215.png
866,1577,866,63,0.07274826789838337,38,0.6031746031746031,63,26,0.4126984126984127,445656.8860599668,5696628.064498647,479.59209891693365,-3.918299362354446,0.4342847242951393,-0.3695710049413492,-130.05221583099933,12.735620955104864,-8.648548335140497,2.1797423348657503,3.704590454551351,-5.976755037332225,1.7582016,0.60173476,26,0.4126984126984127,445656.88605997857,5696628.064498642,479.5920989179912,-3.9182993505964987,0.43428471963852644,-0.3695710038837774,-130.0522158414614,12.735620938242398,-8.64854828651702,2.1797423244036906,3.7045904376888927,-5.976754988708734,1.7582016,0.60173476,445660.80435932917,5696627.630213923,479.961669921875,-132.23195816586508,9.03103050055351,-2.6717932978082812,216,frame_000216.png
918,1658,918,86,0.09368191721132897,47,0.5465116279069767,86,30,0.3488372093023256,445659.4031680309,5696624.23501921,479.35631226286864,-0.3669232785468921,-2.3135225726291537,-0.6216540457251085,-133.65832336710787,5.774907299946973,7.6027762846533165,-1.5277332238241854,0.6210680524612258,8.318896703617384,1.8541709,0.72777253,30,0.3488372093023256,445659.4031680307,5696624.23501921,479.35631226294817,-0.3669232787215151,-2.3135225726291537,-0.6216540456455846,-133.6583233668399,5.774907299412673,7.6027762831250945,-1.5277332235562255,0.621068051926926,8.318896702089148,1.8541709,0.72777253,445659.77009130944,5696626.548541782,479.97796630859375,-132.13059014328368,5.15383924748576,-0.716120418964055,217,frame_000217.png
984,1736,984,109,0.11077235772357724,49,0.44954128440366975,109,35,0.3211009174311927,445657.37122701143,5696624.534893607,479.56210652258346,-1.3933294629096054,-0.9648174047470093,-0.4003263387446623,-133.00979359455562,-1.2023842482176086,1.2869942316342875,-0.9519108721524674,-1.8884982937554184,2.3747017466938587,1.9581746,0.7758529,35,0.3211009174311927,445657.3712270087,5696624.534893607,479.5621065226232,-1.3933294656453654,-0.9648174047470093,-0.40032633870492873,-133.00979359507795,-1.202384240096418,1.2869942243345593,-0.9519108726748016,-1.8884982856342276,2.374701739394112,1.9581746,0.7758529,445658.76455647434,5696625.499711012,479.9624328613281,-132.05788272240315,0.6861140455378161,-1.0877075150595585,218,frame_000218.png
1085,2017,1085,56,0.05161290322580645,32,0.5714285714285714,56,27,0.48214285714285715,445655.79331056954,5696622.3498315,479.8472467837133,-0.32377796206856146,-0.34910315833985806,0.0023676333226489987,-133.62614929445328,-27.157826998901303,-0.37087179779100793,-1.0899726234415823,-3.2695193360123938,-2.07101077646621,1.6618667,0.77557915,27,0.48214285714285715,445655.793310568,5696622.349831501,479.8472467839933,-0.32377796358196065,-0.3491031574085355,0.00236763360265968,-133.6261492964835,-27.157826996385747,-0.3708718043928137,-1.0899726254718018,-3.2695193334968167,-2.0710107830680045,1.6618667,0.77557915,445656.1170885316,5696622.698934658,479.8448791503906,-132.5361766710117,-23.88830766288892,1.7001389786751886,220,frame_000220.png
945,1878,945,148,0.15661375661375662,85,0.5743243243243243,148,51,0.34459459459459457,445655.313879147,5696621.4850344295,479.6784251473581,0.89357773802476,0.5809173453599215,-0.258983299907527,-133.77963495307995,-12.409503701906191,1.794190016805334,-1.208935234994982,-6.9565647528586965,1.5642416782861517,1.7709548,0.80299294,51,0.34459459459459457,445655.3138791473,5696621.48503443,479.6784251472043,0.8935777383157983,0.580917346291244,-0.2589833000613453,-133.77963495358514,-12.409503707079965,1.7941900134873112,-1.208935235500178,-6.956564758032471,1.5642416749681445,1.7709548,0.80299294,445654.420301409,5696620.904117084,479.9374084472656,-132.57069971808497,-5.452938949047501,0.22994833851917465,221,frame_000221.png
1033,1875,1033,169,0.16360116166505323,98,0.5798816568047337,169,57,0.33727810650887574,445653.22366373456,5696621.050467759,479.6526042513448,-1.1379486034275033,0.17889583483338356,-0.24308666662398082,-132.64552023178211,-0.25195620738945357,-3.109833433078614,-0.7650394143385029,-0.10539042424437639,-3.541841099326632,1.7860814,0.71991354,57,0.33727810650887574,445653.223663747,5696621.050467774,479.6526042499259,-1.1379485909710638,0.17889584973454475,-0.24308666804290624,-132.64552022883353,-0.25195628705931616,-3.109833437015584,-0.765039411389921,-0.10539050391423643,-3.5418411032636072,1.7860814,0.71991354,445654.361612338,5696620.871571925,479.8956909179688,-131.8804808174436,-0.14656578314508253,0.43200766624801845,222,frame_000222.png
1045,1921,1045,152,0.14545454545454545,90,0.5921052631578947,152,50,0.32894736842105265,445654.5785635464,5696621.681839504,479.58358080461664,0.11100172431906685,0.7025852100923657,-0.33316724225835515,-133.01693165516215,-0.24767811222433117,-0.6232132652884051,-0.8342047187335879,-4.169926523612077,-1.1017103985765573,1.788694,0.6905667,50,0.32894736842105265,445654.57856354676,5696621.681839507,479.5835808042949,0.11100172466831282,0.7025852128863335,-0.3331672425800889,-133.01693165451914,-0.2476781216023213,-0.6232132719466001,-0.8342047180905752,-4.169926532990075,-1.101710405234769,1.788694,0.6905667,445654.4675618221,5696620.979254294,479.916748046875,-132.18272693642857,3.9222484113877503,0.4784971332881627,223,frame_000223.png
1046,1884,1046,161,0.15391969407265774,91,0.5652173913043478,161,56,0.34782608695652173,445655.2547930203,5696620.366207378,479.7496669144584,0.7344107034150511,-0.6617724169045687,-0.1864903121041266,-133.89041391772616,3.5822319208941114,4.825945729906974,-1.3199964119432366,-2.1651536558665043,4.388724924057215,1.7383853,0.7457494,56,0.34782608695652173,445655.2547930199,5696620.366207379,479.74966691440875,0.7344107030075975,-0.6617724159732461,-0.1864903121537509,-133.89041391733986,3.5822319196515826,4.825945726458476,-1.3199964115569287,-2.1651536571090446,4.388724920608723,1.7383853,0.7457494,445654.5203823169,5696621.027979795,479.9361572265625,-132.57041750578293,5.747385576760614,0.43722080584976025,224,frame_000224.png
